Date,Site,Kpar
2002-07-01,BP01_s2,0.3087320923805237
2002-07-01,BP02_s2,0.31329455971717834
2002-07-01,BP03_s2,NA
2002-07-01,BP05_s2,NA
2002-07-01,BP06_s2,0.23702937364578247
2002-07-01,BP08_s2,0.23567365109920502
2002-07-01,BP10_s2,NA
2002-07-01,BP13_s2,0.3282904624938965
2002-07-01,BP14_s2,NA
2002-07-01,LH01_s2,0.5381831526756287
2002-07-01,LH02_s2,0.5381924510002136
2002-07-01,LH07_s2,0.4799216687679291
2002-07-01,LH10_s2,0.5381831526756287
2002-07-01,PB02_s2,NA
2002-07-01,PB03_s2,NA
2002-07-01,PB10_s2,NA
2002-07-01,PB11_s2,NA
2002-07-01,PL02_s2,NA
2002-07-01,PL03_s2,NA
2002-07-01,PL14_s2,NA
2002-07-01,PL16_s2,NA
2002-08-01,BP01_s2,0.35298269987106323
2002-08-01,BP02_s2,0.4398643374443054
2002-08-01,BP03_s2,0.4231783151626587
2002-08-01,BP05_s2,0.35557320713996887
2002-08-01,BP06_s2,0.32891231775283813
2002-08-01,BP08_s2,0.6331934928894043
2002-08-01,BP10_s2,0.39205390214920044
2002-08-01,BP13_s2,0.48289617896080017
2002-08-01,BP14_s2,0.48085904121398926
2002-08-01,LH01_s2,0.5584332942962646
2002-08-01,LH02_s2,0.568334698677063
2002-08-01,LH07_s2,0.7556455135345459
2002-08-01,LH10_s2,0.5584332942962646
2002-08-01,PB02_s2,NA
2002-08-01,PB03_s2,NA
2002-08-01,PB10_s2,NA
2002-08-01,PB11_s2,NA
2002-08-01,PL02_s2,NA
2002-08-01,PL03_s2,NA
2002-08-01,PL14_s2,NA
2002-08-01,PL16_s2,NA
2002-09-01,BP01_s2,0.4670643210411072
2002-09-01,BP02_s2,0.4281332194805145
2002-09-01,BP03_s2,0.42854440212249756
2002-09-01,BP05_s2,0.40143731236457825
2002-09-01,BP06_s2,0.39050599932670593
2002-09-01,BP08_s2,0.30649474263191223
2002-09-01,BP10_s2,0.4138486385345459
2002-09-01,BP13_s2,0.48983657360076904
2002-09-01,BP14_s2,0.6327807903289795
2002-09-01,LH01_s2,0.5503668785095215
2002-09-01,LH02_s2,0.5553528666496277
2002-09-01,LH07_s2,0.5653032064437866
2002-09-01,LH10_s2,0.5627012252807617
2002-09-01,PB02_s2,NA
2002-09-01,PB03_s2,NA
2002-09-01,PB10_s2,NA
2002-09-01,PB11_s2,NA
2002-09-01,PL02_s2,NA
2002-09-01,PL03_s2,NA
2002-09-01,PL14_s2,NA
2002-09-01,PL16_s2,NA
2002-10-01,BP01_s2,0.3363470435142517
2002-10-01,BP02_s2,0.4045819044113159
2002-10-01,BP03_s2,0.347488671541214
2002-10-01,BP05_s2,0.36802613735198975
2002-10-01,BP06_s2,0.34408512711524963
2002-10-01,BP08_s2,0.3048986494541168
2002-10-01,BP10_s2,0.38148054480552673
2002-10-01,BP13_s2,0.3516581058502197
2002-10-01,BP14_s2,0.32684284448623657
2002-10-01,LH01_s2,0.5246568322181702
2002-10-01,LH02_s2,NA
2002-10-01,LH07_s2,0.3359079658985138
2002-10-01,LH10_s2,0.5246568322181702
2002-10-01,PB02_s2,NA
2002-10-01,PB03_s2,NA
2002-10-01,PB10_s2,NA
2002-10-01,PB11_s2,NA
2002-10-01,PL02_s2,NA
2002-10-01,PL03_s2,NA
2002-10-01,PL14_s2,NA
2002-10-01,PL16_s2,0.4182191789150238
2002-11-01,BP01_s2,0.3568337559700012
2002-11-01,BP02_s2,0.3260865807533264
2002-11-01,BP03_s2,NA
2002-11-01,BP05_s2,0.34431684017181396
2002-11-01,BP06_s2,0.32797569036483765
2002-11-01,BP08_s2,0.28139635920524597
2002-11-01,BP10_s2,0.3526664674282074
2002-11-01,BP13_s2,0.35135358572006226
2002-11-01,BP14_s2,0.2793387472629547
2002-11-01,LH01_s2,0.521210789680481
2002-11-01,LH02_s2,0.4373810887336731
2002-11-01,LH07_s2,NA
2002-11-01,LH10_s2,0.3087603449821472
2002-11-01,PB02_s2,NA
2002-11-01,PB03_s2,NA
2002-11-01,PB10_s2,NA
2002-11-01,PB11_s2,NA
2002-11-01,PL02_s2,NA
2002-11-01,PL03_s2,NA
2002-11-01,PL14_s2,NA
2002-11-01,PL16_s2,NA
2002-12-01,BP01_s2,0.3419305682182312
2002-12-01,BP02_s2,0.3183194100856781
2002-12-01,BP03_s2,0.25341594219207764
2002-12-01,BP05_s2,0.286063551902771
2002-12-01,BP06_s2,0.2596461772918701
2002-12-01,BP08_s2,0.2798183858394623
2002-12-01,BP10_s2,0.31325680017471313
2002-12-01,BP13_s2,0.3475543260574341
2002-12-01,BP14_s2,0.3025731146335602
2002-12-01,LH01_s2,0.3875686824321747
2002-12-01,LH02_s2,0.4249981641769409
2002-12-01,LH07_s2,0.4107396602630615
2002-12-01,LH10_s2,0.36286067962646484
2002-12-01,PB02_s2,NA
2002-12-01,PB03_s2,NA
2002-12-01,PB10_s2,NA
2002-12-01,PB11_s2,NA
2002-12-01,PL02_s2,NA
2002-12-01,PL03_s2,NA
2002-12-01,PL14_s2,NA
2002-12-01,PL16_s2,0.3204755187034607
