SiteFrom,Date,Median
BP14,2015-11-01,11.384999752044678
BP14,2015-12-01,15.22499942779541
BP14,2016-01-01,19.712499618530273
BP14,2016-02-01,NA
BP14,2016-03-01,21.26749897003174
BP14,2016-04-01,20.09000015258789
BP14,2016-05-01,16.0600004196167
BP14,2016-06-01,NA
BP14,2016-07-01,NA
BP14,2016-08-01,NA
BP14,2016-09-01,NA
BP14,2016-10-01,NA
BP14,2016-11-01,NA
BP14,2016-12-01,16.989999771118164
BP14,2017-01-01,NA
BP14,2017-02-01,NA
BP14,2017-03-01,21.510000228881836
BP14,2017-04-01,20.28999900817871
BP14,2017-05-01,15.059999465942383
BP14,2017-06-01,NA
BP14,2017-07-01,NA
BP14,2017-08-01,NA
BP14,2017-09-01,10.66499948501587
BP14,2017-10-01,10.014999389648437
BP14,2017-11-01,15.614999771118164
BP14,2017-12-01,16.510000228881836
BP14,2018-01-01,21.25
BP14,2018-02-01,19.934999465942383
BP14,2018-03-01,NA
BP14,2018-04-01,17.77999973297119
BP14,2018-05-01,14.989999771118164
BP14,2018-06-01,13.824999809265137
BP14,2018-07-01,NA
BP14,2018-08-01,9.884999752044678
BP14,2018-09-01,10.47499942779541
BP14,2018-10-01,11.944999694824219
BP14,2018-11-01,14.0649995803833
BP14,2018-12-01,16.619999885559082
BP14,2019-01-01,NA
BP14,2019-02-01,NA
BP14,2019-03-01,19.334999084472656
BP14,2019-04-01,18.729999542236328
BP13,2002-07-01,NA
BP13,2002-08-01,14.886835098266602
BP13,2002-09-01,9.884999752044678
BP13,2002-10-01,10.91499948501587
BP13,2002-11-01,12.994999885559082
BP13,2002-12-01,NA
BP13,2003-01-01,15.835000038146973
BP13,2003-02-01,19.969999313354492
BP13,2003-03-01,18.90999984741211
BP13,2003-04-01,18.709999084472656
BP13,2003-05-01,NA
BP13,2003-06-01,14.069999694824219
BP13,2003-07-01,NA
BP13,2003-08-01,8.069999694824219
BP13,2003-09-01,9.422500133514404
BP13,2003-10-01,11.427499771118164
BP13,2003-11-01,11.324999809265137
BP13,2003-12-01,NA
BP13,2004-01-01,16.760000228881836
BP13,2004-02-01,19.614998817443848
BP13,2004-03-01,19.899999618530273
BP13,2004-04-01,17.182499885559082
BP13,2004-05-01,15.06749963760376
BP13,2004-06-01,12.039999961853027
BP13,2004-07-01,NA
BP13,2004-08-01,9.28499984741211
BP13,2004-09-01,NA
BP13,2004-10-01,11.774999618530273
BP13,2004-11-01,14.707499504089355
BP13,2004-12-01,16.389999389648437
BP13,2005-01-01,NA
BP13,2005-02-01,20.689998626708984
BP13,2005-03-01,22.049999237060547
BP13,2005-04-01,17.395000457763672
BP13,2005-05-01,15.769999980926514
BP13,2005-06-01,14.005000114440918
BP13,2005-07-01,NA
BP13,2005-08-01,9.104999542236328
BP13,2005-09-01,9.684999465942383
BP13,2005-10-01,11.15749979019165
BP13,2005-11-01,15.339999198913574
BP13,2005-12-01,15.842499732971191
BP13,2006-01-01,17.69499969482422
BP13,2006-02-01,20.475000381469727
BP13,2006-03-01,19.975000381469727
BP13,2006-04-01,16.625
BP13,2006-05-01,15.304999351501465
BP13,2006-06-01,10.880000114440918
BP13,2006-07-01,7.78499960899353
BP13,2006-08-01,NA
BP13,2006-09-01,9.460000038146973
BP13,2006-10-01,11.34999942779541
BP13,2006-11-01,9.574999809265137
BP13,2006-12-01,NA
BP13,2007-01-01,17.309999465942383
BP13,2007-02-01,15.8149995803833
BP13,2007-03-01,21.624999046325684
BP13,2007-04-01,18.244998931884766
BP13,2007-05-01,14.604999542236328
BP13,2007-06-01,13.230000019073486
BP13,2007-07-01,8.09999942779541
BP13,2007-08-01,7.364999771118164
BP13,2007-09-01,8.664999961853027
BP13,2007-10-01,11.0625
BP13,2007-11-01,14.774999618530273
BP13,2007-12-01,18.017499923706055
BP13,2008-01-01,NA
BP13,2008-02-01,21.684999465942383
BP13,2008-03-01,19.112499237060547
BP13,2008-04-01,17.489999771118164
BP13,2008-05-01,16.494998931884766
BP13,2008-06-01,11.329999923706055
BP13,2008-07-01,NA
BP13,2008-08-01,NA
BP13,2008-09-01,9.297499656677246
BP13,2008-10-01,11.38499927520752
BP13,2008-11-01,NA
BP13,2008-12-01,NA
BP13,2009-01-01,18.059999465942383
BP13,2009-02-01,19.709999084472656
BP13,2009-03-01,19.777499198913574
BP13,2009-04-01,17.350000381469727
BP13,2009-05-01,16.709999084472656
BP13,2009-06-01,11.604999542236328
BP13,2009-07-01,10.519999504089355
BP13,2009-08-01,7.859999656677246
BP13,2009-09-01,9.719999313354492
BP13,2009-10-01,11.824999809265137
BP13,2009-11-01,12.744999885559082
BP13,2009-12-01,15.309999465942383
BP13,2010-01-01,NA
BP13,2010-02-01,17.66499900817871
BP13,2010-03-01,19.78499984741211
BP13,2010-04-01,18.350000381469727
BP13,2010-05-01,15.274999618530273
BP13,2010-06-01,13.65999984741211
BP13,2010-07-01,10.972499370574951
BP13,2010-08-01,9.337499618530273
BP13,2010-09-01,9.074999809265137
BP13,2010-10-01,11.054999351501465
BP13,2010-11-01,NA
BP13,2010-12-01,15.53499984741211
BP13,2011-01-01,18.899999618530273
BP13,2011-02-01,20.93000030517578
BP13,2011-03-01,20.674999237060547
BP13,2011-04-01,18.264999389648438
BP13,2011-05-01,NA
BP13,2011-06-01,13.152499675750732
BP13,2011-07-01,NA
BP13,2011-08-01,9.899999618530273
BP13,2011-09-01,9.479999542236328
BP13,2011-10-01,10.21500015258789
BP13,2011-11-01,13.494999408721924
BP13,2011-12-01,13.229999542236328
BP13,2012-01-01,16.100000381469727
BP13,2012-02-01,NA
BP13,2012-03-01,17.920000076293945
BP13,2012-04-01,16.850000381469727
BP13,2012-05-01,15.557499408721924
BP13,2012-06-01,11.414999961853027
BP13,2012-07-01,NA
BP13,2012-08-01,NA
BP13,2012-09-01,10.4399995803833
BP13,2012-10-01,10.84999942779541
BP13,2012-11-01,NA
BP13,2012-12-01,15.585000038146973
BP13,2013-01-01,17.299999237060547
BP13,2013-02-01,18.73499870300293
BP13,2013-03-01,20.209999084472656
BP13,2013-04-01,18.989999771118164
BP13,2013-05-01,17.600000381469727
BP13,2013-06-01,13.244999885559082
BP13,2013-07-01,NA
BP13,2013-08-01,NA
BP13,2013-09-01,10.354999542236328
BP13,2013-10-01,13.125
BP13,2013-11-01,14.389999389648438
BP13,2013-12-01,13.047499656677246
BP13,2014-01-01,19.114999771118164
BP13,2014-02-01,18.739999771118164
BP13,2014-03-01,20.689998626708984
BP13,2014-04-01,17.03999900817871
BP13,2014-05-01,13.264999389648438
BP13,2014-06-01,12.604999542236328
BP13,2014-07-01,10.764999389648438
BP13,2014-08-01,NA
BP13,2014-09-01,NA
BP13,2014-10-01,12.50999927520752
BP13,2014-11-01,15.444999694824219
BP13,2014-12-01,18.397499084472656
BP13,2015-01-01,NA
BP13,2015-02-01,20.07499885559082
BP13,2015-03-01,19.479999542236328
BP13,2015-04-01,19.385000228881836
BP13,2015-05-01,NA
BP13,2015-06-01,13.594999313354492
BP13,2015-07-01,NA
BP13,2015-08-01,NA
BP13,2015-09-01,9.549999713897705
BP13,2015-10-01,9.97499942779541
BP13,2015-11-01,11.764999866485596
BP13,2015-12-01,NA
BP13,2016-01-01,19.714999198913574
BP13,2016-02-01,NA
BP13,2016-03-01,21.899999618530273
BP13,2016-04-01,22.424999237060547
BP13,2016-05-01,16.06749963760376
BP13,2016-06-01,15.229999542236328
BP13,2016-07-01,10.675000190734863
BP13,2016-08-01,NA
