SiteFrom,Date,Median
BP14,2002-07-01,NA
BP14,2002-08-01,15.305694103240967
BP14,2002-09-01,8.944999694824219
BP14,2002-10-01,10.854999542236328
BP14,2002-11-01,12.827499389648438
BP14,2002-12-01,14.409999370574951
BP14,2003-01-01,16.114999771118164
BP14,2003-02-01,19.452499389648438
BP14,2003-03-01,18.69999885559082
BP14,2003-04-01,17.31999969482422
BP14,2003-05-01,NA
BP14,2003-06-01,13.90999984741211
BP14,2003-07-01,NA
BP14,2003-08-01,8.864999771118164
BP14,2003-09-01,9.59000015258789
BP14,2003-10-01,11.545000076293945
BP14,2003-11-01,12.570000171661377
BP14,2003-12-01,14.542499542236328
BP14,2004-01-01,16.760000228881836
BP14,2004-02-01,24.244998931884766
BP14,2004-03-01,18.517499923706055
BP14,2004-04-01,16.484999656677246
BP14,2004-05-01,14.807499408721924
BP14,2004-06-01,NA
BP14,2004-07-01,NA
BP14,2004-08-01,8.739999771118164
BP14,2004-09-01,NA
BP14,2004-10-01,11.774999618530273
BP14,2004-11-01,14.924999237060547
BP14,2004-12-01,15.117499828338623
BP14,2005-01-01,14.757499694824219
BP14,2005-02-01,21.420000076293945
BP14,2005-03-01,22.8174991607666
BP14,2005-04-01,17.119999885559082
BP14,2005-05-01,16.299999237060547
BP14,2005-06-01,12.4399995803833
BP14,2005-07-01,NA
BP14,2005-08-01,9.059999465942383
BP14,2005-09-01,9.904999732971191
BP14,2005-10-01,11.279999732971191
BP14,2005-11-01,13.47499942779541
BP14,2005-12-01,17.28499937057495
BP14,2006-01-01,18.732500076293945
BP14,2006-02-01,18.684999465942383
BP14,2006-03-01,20.142499923706055
BP14,2006-04-01,16.625
BP14,2006-05-01,15.972499370574951
BP14,2006-06-01,10.880000114440918
BP14,2006-07-01,9.024999618530273
BP14,2006-08-01,9.147499561309814
BP14,2006-09-01,9.8149995803833
BP14,2006-10-01,11.222499370574951
BP14,2006-11-01,12.767499923706055
BP14,2006-12-01,14.734999656677246
BP14,2007-01-01,16.2524995803833
BP14,2007-02-01,16.59000015258789
BP14,2007-03-01,19.010000228881836
BP14,2007-04-01,18.375
BP14,2007-05-01,15.00999927520752
BP14,2007-06-01,13.5
BP14,2007-07-01,10.550000190734863
BP14,2007-08-01,7.364999771118164
BP14,2007-09-01,10.630000114440918
BP14,2007-10-01,10.809999465942383
BP14,2007-11-01,14.774999618530273
BP14,2007-12-01,17.53749942779541
BP14,2008-01-01,16.91499900817871
BP14,2008-02-01,18.684999465942383
BP14,2008-03-01,17.94999885559082
BP14,2008-04-01,18.389999389648438
BP14,2008-05-01,15.924999237060547
BP14,2008-06-01,12.827499866485596
BP14,2008-07-01,10.84000015258789
BP14,2008-08-01,NA
BP14,2008-09-01,9.204999923706055
BP14,2008-10-01,10.202499389648437
BP14,2008-11-01,12.88499927520752
BP14,2008-12-01,NA
BP14,2009-01-01,17.427498817443848
BP14,2009-02-01,21.3149995803833
BP14,2009-03-01,20.32499885559082
BP14,2009-04-01,17.36750030517578
BP14,2009-05-01,16.639999389648437
BP14,2009-06-01,10.300000190734863
BP14,2009-07-01,9.989999771118164
BP14,2009-08-01,7.859999656677246
BP14,2009-09-01,10.03499984741211
BP14,2009-10-01,11.59999942779541
BP14,2009-11-01,11.554999351501465
BP14,2009-12-01,13.857499599456787
BP14,2010-01-01,15.5
BP14,2010-02-01,18.979999542236328
BP14,2010-03-01,19.204999923706055
BP14,2010-04-01,19.344999313354492
BP14,2010-05-01,15.179999351501465
BP14,2010-06-01,13.664999961853027
BP14,2010-07-01,NA
BP14,2010-08-01,9.354999542236328
BP14,2010-09-01,9.949999809265137
BP14,2010-10-01,10.899999618530273
BP14,2010-11-01,14.639999389648437
BP14,2010-12-01,17.815000534057617
BP14,2011-01-01,16.707499504089355
BP14,2011-02-01,18.895000457763672
BP14,2011-03-01,20.049999237060547
BP14,2011-04-01,15.829999923706055
BP14,2011-05-01,NA
BP14,2011-06-01,13.449999809265137
BP14,2011-07-01,NA
BP14,2011-08-01,10.179999351501465
BP14,2011-09-01,10.099999904632568
BP14,2011-10-01,10.457499504089355
BP14,2011-11-01,12.007499694824219
BP14,2011-12-01,13.047499656677246
BP14,2012-01-01,15.354999542236328
BP14,2012-02-01,18.369999885559082
BP14,2012-03-01,18.295000076293945
BP14,2012-04-01,17.649999618530273
BP14,2012-05-01,16.420000076293945
BP14,2012-06-01,11.7524995803833
BP14,2012-07-01,NA
BP14,2012-08-01,9.434999942779541
BP14,2012-09-01,10.505000114440918
BP14,2012-10-01,10.809999465942383
BP14,2012-11-01,11.304999351501465
BP14,2012-12-01,14
BP14,2013-01-01,17.489999771118164
BP14,2013-02-01,18.777499198913574
BP14,2013-03-01,19.3799991607666
BP14,2013-04-01,19.66249942779541
BP14,2013-05-01,17.78999900817871
BP14,2013-06-01,12.859999656677246
BP14,2013-07-01,NA
BP14,2013-08-01,9.832499980926514
BP14,2013-09-01,NA
BP14,2013-10-01,11.59999942779541
BP14,2013-11-01,13.87999963760376
BP14,2013-12-01,14.594999313354492
BP14,2014-01-01,18.15999984741211
BP14,2014-02-01,20.114999771118164
BP14,2014-03-01,19.795000076293945
BP14,2014-04-01,17.114999771118164
BP14,2014-05-01,13.170000076293945
BP14,2014-06-01,12.97749948501587
