SiteFrom,Date,Median
BP14,2015-03-14T02:11:07Z,NA
BP14,2015-03-15T02:46:48Z,NA
BP14,2015-03-15T03:50:58Z,NA
BP14,2015-03-16T02:18:20Z,NA
BP14,2015-03-17T01:49:51Z,NA
BP14,2015-03-17T03:58:11Z,NA
BP14,2015-03-18T02:25:32Z,0.6757031083106995
BP14,2015-03-18T04:33:52Z,NA
BP14,2015-03-19T00:52:54Z,NA
BP14,2015-03-19T03:01:13Z,NA
BP14,2015-03-20T02:32:45Z,NA
BP14,2015-03-20T03:36:54Z,NA
BP14,2015-03-21T01:00:07Z,NA
BP14,2015-03-21T02:04:16Z,NA
BP14,2015-03-22T02:39:57Z,NA
BP14,2015-03-22T03:44:07Z,NA
BP14,2015-03-23T01:07:19Z,NA
BP14,2015-03-23T02:11:29Z,NA
BP14,2015-03-24T01:43:00Z,NA
BP14,2015-03-24T03:51:19Z,NA
BP14,2015-03-25T02:18:41Z,NA
BP14,2015-03-25T04:27:00Z,NA
BP14,2015-03-26T01:50:12Z,NA
BP14,2015-03-26T03:58:32Z,NA
BP14,2015-03-27T02:25:53Z,NA
BP14,2015-03-27T03:30:03Z,NA
BP14,2015-03-28T00:53:15Z,NA
BP14,2015-03-28T03:01:34Z,NA
BP14,2015-03-29T02:33:06Z,NA
BP14,2015-03-29T03:37:15Z,NA
BP14,2015-03-30T01:00:28Z,NA
BP14,2015-03-30T02:04:37Z,NA
BP14,2015-03-31T02:40:18Z,NA
BP14,2015-03-31T03:44:28Z,NA
BP14,2015-04-01T02:11:50Z,NA
BP14,2015-04-02T01:43:21Z,NA
BP14,2015-04-02T03:51:40Z,NA
BP14,2015-04-03T02:19:02Z,0.26824069023132324
BP14,2015-04-03T04:27:21Z,NA
BP14,2015-04-04T00:46:24Z,NA
BP14,2015-04-04T02:54:43Z,NA
BP14,2015-04-05T02:26:15Z,NA
BP14,2015-04-05T03:30:24Z,NA
BP14,2015-04-06T00:53:36Z,NA
BP14,2015-04-06T01:57:46Z,NA
BP14,2015-04-07T02:33:27Z,NA
BP14,2015-04-07T03:37:37Z,NA
BP14,2015-04-08T01:00:49Z,NA
BP14,2015-04-08T02:04:58Z,NA
BP14,2015-04-09T01:36:30Z,NA
BP14,2015-04-09T03:44:49Z,NA
BP14,2015-04-10T02:12:11Z,NA
BP14,2015-04-10T04:20:30Z,NA
BP14,2015-04-11T01:43:42Z,NA
BP14,2015-04-11T03:52:01Z,NA
BP14,2015-04-12T02:19:23Z,NA
BP14,2015-04-12T03:23:33Z,NA
BP14,2015-04-13T00:46:45Z,NA
BP14,2015-04-13T02:55:04Z,NA
BP14,2015-04-14T02:26:36Z,NA
BP14,2015-04-14T03:30:45Z,NA
BP14,2015-04-15T00:53:57Z,NA
BP14,2015-04-15T01:58:07Z,NA
BP14,2015-04-16T02:33:48Z,NA
BP14,2015-04-16T03:37:58Z,NA
BP14,2015-04-17T02:05:19Z,NA
BP14,2015-04-18T01:36:51Z,NA
BP14,2015-04-18T03:45:10Z,NA
BP14,2015-04-19T02:12:32Z,NA
BP14,2015-04-19T04:20:51Z,NA
BP14,2015-04-20T01:44:03Z,NA
BP14,2015-04-20T03:52:22Z,NA
BP14,2015-04-21T02:19:44Z,NA
BP14,2015-04-21T03:23:54Z,NA
BP14,2015-04-22T00:47:06Z,NA
BP14,2015-04-22T01:51:16Z,NA
BP14,2015-04-23T02:26:57Z,NA
BP14,2015-04-23T03:31:06Z,NA
BP14,2015-04-24T00:54:18Z,NA
BP14,2015-04-24T01:58:28Z,NA
BP14,2015-04-25T01:30:00Z,NA
BP14,2015-04-25T03:38:19Z,NA
BP14,2015-04-26T02:05:41Z,NA
BP14,2015-04-26T04:14:00Z,NA
BP14,2015-04-27T01:37:12Z,NA
BP14,2015-04-27T03:45:31Z,NA
BP14,2015-04-28T02:12:53Z,NA
BP14,2015-04-28T03:17:03Z,NA
BP14,2015-04-29T01:44:24Z,NA
BP14,2015-04-29T03:52:44Z,NA
BP14,2015-04-30T02:20:05Z,NA
BP14,2015-04-30T03:24:15Z,NA
BP14,2015-05-01T00:47:27Z,NA
BP14,2015-05-01T01:51:37Z,0.49515780806541443
BP14,2015-05-02T02:27:18Z,NA
BP14,2015-05-02T03:31:27Z,NA
BP14,2015-05-03T01:58:49Z,NA
BP14,2015-05-04T01:30:21Z,NA
BP14,2015-05-04T03:38:40Z,NA
BP14,2015-05-05T02:06:02Z,NA
BP14,2015-05-05T04:14:21Z,NA
BP14,2015-05-06T01:37:33Z,NA
BP14,2015-05-06T03:45:52Z,NA
BP14,2015-05-07T02:13:14Z,0.4217960834503174
BP14,2015-05-07T03:17:24Z,NA
BP14,2015-05-08T02:48:55Z,NA
BP14,2015-05-09T02:20:26Z,NA
BP14,2015-05-09T03:24:36Z,NA
BP14,2015-05-10T00:47:48Z,NA
BP14,2015-05-10T01:51:58Z,NA
BP14,2015-05-11T01:23:29Z,NA
BP14,2015-05-11T03:31:48Z,NA
BP14,2015-05-12T01:59:10Z,NA
BP14,2015-05-12T04:07:30Z,NA
BP14,2015-05-13T01:30:42Z,NA
BP14,2015-05-13T03:39:01Z,NA
BP14,2015-05-14T02:06:23Z,NA
BP14,2015-05-14T03:10:32Z,NA
BP14,2015-05-15T01:37:54Z,NA
BP14,2015-05-15T03:46:13Z,NA
